Samples	Sig1	Sig2	Sig3	Sig4	Sig5	Sig6	Sig7
Kidney-RCC::SP103416	0	0	5217	0	0	0	0
Kidney-RCC::SP103005	0	0	0	4970	0	0	0
Kidney-RCC::SP102759	0	0	0	7556	0	0	0
Kidney-RCC::SP102741	0	0	0	0	0	0	6036
Kidney-RCC::SP102945	0	0	0	4369	0	0	0
Kidney-RCC::SP103826	0	0	0	0	0	0	3873
Kidney-RCC::SP103706	0	0	0	5931	0	0	0
Kidney-RCC::SP102897	0	0	0	27529	0	0	0
Kidney-RCC::SP102881	0	0	5375	0	0	0	0
Kidney-RCC::SP103715	0	0	0	4835	0	0	0
Kidney-RCC::SP102929	0	0	0	4803	0	0	0
Kidney-RCC::SP103619	0	0	0	0	0	0	2514
Kidney-RCC::SP103844	0	0	0	0	0	0	4289
Kidney-RCC::SP103128	0	0	5760	0	0	0	0
Kidney-RCC::SP103300	0	0	0	0	0	0	6628
Kidney-RCC::SP103057	0	0	0	0	0	0	12227
Kidney-RCC::SP103340	0	0	0	4177	0	0	0
Kidney-RCC::SP102913	0	0	0	8046	0	0	0
Kidney-RCC::SP102783	0	0	9337	0	0	0	0
Kidney-RCC::SP103080	0	0	10743	0	0	0	0
Kidney-RCC::SP103436	0	0	0	0	0	0	4386
Kidney-RCC::SP102804	0	0	0	7206	0	0	0
Kidney-RCC::SP102957	0	0	0	0	0	0	35984
Kidney-RCC::SP102873	0	0	0	5085	0	0	0
Kidney-RCC::SP103213	0	0	0	3425	0	0	0
Kidney-RCC::SP103467	0	0	0	0	0	0	2255
Kidney-RCC::SP103261	0	0	0	8902	0	0	0
Kidney-RCC::SP103156	0	0	0	6113	0	0	0
Kidney-RCC::SP103288	0	0	0	3178	0	0	0
Kidney-RCC::SP103444	0	0	0	4371	0	0	0
Kidney-RCC::SP103685	0	0	0	4759	0	0	0
Kidney-RCC::SP103140	0	0	0	6817	0	0	0
Kidney-RCC::SP103673	0	0	0	8022	0	0	0
Kidney-RCC::SP102839	0	0	0	4520	0	0	0
Kidney-RCC::SP103245	0	0	0	7656	0	0	0
Kidney-RCC::SP103037	0	0	0	2396	0	0	0
Kidney-RCC::SP103408	0	0	0	5955	0	0	0
Kidney-RCC::SP103021	0	0	5819	0	0	0	0
Kidney-RCC::SP103679	0	0	0	0	5616	0	0
Kidney-RCC::SP103065	0	0	0	7184	0	0	0
Kidney-RCC::SP102965	0	0	0	4883	0	0	0
Kidney-RCC::SP103221	0	0	0	0	0	0	7313
Kidney-RCC::SP103547	0	0	0	6594	0	0	0
Kidney-RCC::SP102973	0	0	0	0	0	0	19048
Kidney-RCC::SP103515	0	0	0	7300	0	0	0
Kidney-RCC::SP102747	0	0	0	1085	0	0	0
Kidney-RCC::SP103730	0	0	0	5927	0	0	0
Kidney-RCC::SP103535	0	0	0	0	0	0	28099
Kidney-RCC::SP102718	0	0	7211	0	0	0	0
Kidney-RCC::SP103483	0	0	0	3047	0	0	0
Kidney-RCC::SP103428	0	0	0	6586	0	0	0
Kidney-RCC::SP102755	0	0	0	0	0	0	10608
Kidney-RCC::SP103694	0	0	0	0	0	0	9599
Kidney-RCC::SP103595	0	0	0	4663	0	0	0
Kidney-RCC::SP103396	0	0	0	0	0	0	3575
Kidney-RCC::SP102716	0	0	0	3411	0	0	0
Kidney-RCC::SP102733	0	0	0	4399	0	0	0
Kidney-RCC::SP102989	0	0	0	0	0	0	7069
Kidney-RCC::SP103603	0	0	7042	0	0	0	0
Kidney-RCC::SP102921	0	0	0	3819	0	0	0
Kidney-RCC::SP103742	0	0	0	6273	0	0	0
Kidney-RCC::SP103555	0	0	0	0	0	0	2042
Kidney-RCC::SP103523	0	0	0	0	0	0	3599
Kidney-RCC::SP103575	0	0	8826	0	0	0	0
Kidney-RCC::SP103045	0	0	0	5264	0	0	0
Kidney-RCC::SP103455	0	0	0	8647	0	0	0
Kidney-RCC::SP103856	0	0	0	3225	0	0	0
Liver-HCC::SP97749	0	0	0	8082	0	0	0
Liver-HCC::SP49235	0	0	0	8017	0	0	0
Liver-HCC::SP50177	0	0	0	10359	0	0	0
Liver-HCC::SP97775	0	0	0	0	0	0	36047
Liver-HCC::SP97685	0	0	0	9874	0	0	0
Liver-HCC::SP97747	0	0	0	9516	0	0	0
Liver-HCC::SP97771	0	0	0	25473	0	0	0
Liver-HCC::SP97681	0	0	0	11988	0	0	0
Liver-HCC::SP98082	0	0	0	8863	0	0	0
Liver-HCC::SP49334	0	0	0	7762	0	0	0
Liver-HCC::SP49124	16674	0	0	0	0	0	0
Liver-HCC::SP115501	0	0	0	0	0	0	9522
Liver-HCC::SP98305	0	0	0	15440	0	0	0
Liver-HCC::SP49247	0	0	0	15145	0	0	0
Liver-HCC::SP49328	0	0	0	10826	0	0	0
Liver-HCC::SP98092	0	0	0	7034	0	0	0
Liver-HCC::SP120755	0	0	0	2747	0	0	0
Liver-HCC::SP49417	0	0	0	10679	0	0	0
Liver-HCC::SP49175	0	0	0	6568	0	0	0
Liver-HCC::SP49223	0	0	0	3694	0	0	0
Liver-HCC::SP49187	0	0	0	0	0	0	10880
Liver-HCC::SP49157	0	0	0	13295	0	0	0
Liver-HCC::SP49379	0	0	0	0	0	0	15647
Liver-HCC::SP49541	0	0	0	0	0	0	12240
Liver-HCC::SP98164	0	0	0	0	0	0	16532
Liver-HCC::SP49481	0	0	0	3340	0	0	0
Liver-HCC::SP98078	0	0	0	15414	0	0	0
Liver-HCC::SP106677	0	0	0	7964	0	0	0
Liver-HCC::SP106743	0	0	0	3504	0	0	0
Liver-HCC::SP98359	0	0	0	8760	0	0	0
Liver-HCC::SP98192	0	0	0	3847	0	0	0
Liver-HCC::SP98053	0	0	0	12805	0	0	0
Liver-HCC::SP106631	0	0	0	18974	0	0	0
Liver-HCC::SP49551	0	0	0	0	0	0	11548
Liver-HCC::SP49651	0	0	0	7718	0	0	0
Liver-HCC::SP98265	0	0	18401	0	0	0	0
Liver-HCC::SP98297	0	0	0	14491	0	0	0
Liver-HCC::SP98060	0	0	0	2284	0	0	0
Liver-HCC::SP98289	0	0	0	0	0	0	29881
Liver-HCC::SP115498	0	0	0	0	0	0	19411
Liver-HCC::SP98096	0	0	0	0	0	0	13554
Liver-HCC::SP49114	0	0	0	0	0	23526	0
Liver-HCC::SP98090	0	0	0	63686	0	0	0
Liver-HCC::SP49286	0	0	0	0	0	0	10268
Liver-HCC::SP49469	0	0	0	7288	0	0	0
Liver-HCC::SP49205	0	0	0	4899	0	0	0
Liver-HCC::SP98327	0	0	0	0	0	0	10780
Liver-HCC::SP49449	0	0	0	0	0	0	3713
Liver-HCC::SP49391	0	0	0	5625	0	0	0
Liver-HCC::SP49531	0	0	0	0	0	0	17280
Liver-HCC::SP49322	0	0	0	7848	0	0	0
Liver-HCC::SP49433	0	0	0	6236	0	0	0
Liver-HCC::SP109384	0	0	0	5432	0	0	0
Liver-HCC::SP98065	0	0	0	0	0	0	10456
Liver-HCC::SP49591	0	0	0	0	7637	0	0
Liver-HCC::SP49385	0	0	0	8894	0	0	0
Liver-HCC::SP98313	0	0	0	7342	0	0	0
Liver-HCC::SP49119	0	0	0	8444	0	0	0
Liver-HCC::SP109301	0	0	0	13751	0	0	0
Liver-HCC::SP115830	0	0	0	7986	0	0	0
Liver-HCC::SP49229	0	0	0	0	0	0	5869
Liver-HCC::SP98853	0	0	0	14756	0	0	0
Liver-HCC::SP98855	0	0	0	7571	0	0	0
Liver-HCC::SP98859	0	0	0	5724	0	0	0
Liver-HCC::SP98865	0	0	0	3496	0	0	0
Liver-HCC::SP98879	0	0	0	13463	0	0	0
Liver-HCC::SP98871	0	0	0	6321	0	0	0
Liver-HCC::SP98867	0	0	0	11339	0	0	0
Liver-HCC::SP98861	0	0	0	16637	0	0	0
Liver-HCC::SP98877	0	0	0	10724	0	0	0
Liver-HCC::SP98889	0	0	0	12659	0	0	0
Liver-HCC::SP98887	0	0	0	16052	0	0	0
Liver-HCC::SP98875	0	0	0	11222	0	0	0
Liver-HCC::SP98851	0	0	0	3174	0	0	0
Liver-HCC::SP98833	0	0	0	5683	0	0	0
Liver-HCC::SP98873	0	0	0	13424	0	0	0
Liver-HCC::SP98883	0	0	0	10211	0	0	0
Liver-HCC::SP98849	0	0	0	5207	0	0	0
Liver-HCC::SP98869	0	0	0	4900	0	0	0
Liver-HCC::SP98893	0	0	0	0	0	0	11922
Liver-HCC::SP98847	0	0	0	7095	0	0	0
Liver-HCC::SP98881	0	0	0	10451	0	0	0
Liver-HCC::SP98841	0	0	0	7944	0	0	0
Liver-HCC::SP98845	0	0	0	18819	0	0	0
Liver-HCC::SP98839	0	0	0	8377	0	0	0
Liver-HCC::SP98843	0	0	0	9785	0	0	0
Liver-HCC::SP98863	0	0	0	4035	0	0	0
Liver-HCC::SP98891	0	0	0	17932	0	0	0
Liver-HCC::SP98885	0	0	0	15937	0	0	0
Liver-HCC::SP107047	0	0	0	0	0	0	16098
Liver-HCC::SP107050	0	0	0	9664	0	0	0
Liver-HCC::SP99261	0	0	0	13144	0	0	0
Liver-HCC::SP107052	0	0	0	8247	0	0	0
Liver-HCC::SP99269	0	0	0	10540	0	0	0
Liver-HCC::SP99271	0	0	0	9430	0	0	0
Liver-HCC::SP107056	0	0	0	20633	0	0	0
Liver-HCC::SP107060	0	0	0	10931	0	0	0
Liver-HCC::SP99279	0	0	0	13608	0	0	0
Liver-HCC::SP107063	0	0	0	5822	0	0	0
Liver-HCC::SP107068	0	0	0	8597	0	0	0
Liver-HCC::SP107071	0	0	0	18703	0	0	0
Liver-HCC::SP107073	0	0	0	3401	0	0	0
Liver-HCC::SP98896	0	0	0	22909	0	0	0
Liver-HCC::SP99003	0	0	0	12165	0	0	0
Liver-HCC::SP107076	0	0	0	31855	0	0	0
Liver-HCC::SP107078	0	0	0	5331	0	0	0
Liver-HCC::SP107080	0	0	0	15047	0	0	0
Liver-HCC::SP98898	0	0	0	14593	0	0	0
Liver-HCC::SP107084	0	0	0	13404	0	0	0
Liver-HCC::SP107088	0	0	0	4934	0	0	0
Liver-HCC::SP107091	0	0	0	9263	0	0	0
Liver-HCC::SP107094	0	0	0	7382	0	0	0
Liver-HCC::SP112224	0	0	0	10764	0	0	0
Liver-HCC::SP107097	0	0	0	9283	0	0	0
Liver-HCC::SP107101	0	0	0	22272	0	0	0
Liver-HCC::SP98900	0	0	0	9708	0	0	0
Liver-HCC::SP107104	0	0	0	11691	0	0	0
Liver-HCC::SP107109	0	0	0	4783	0	0	0
Liver-HCC::SP107111	0	0	0	13710	0	0	0
Liver-HCC::SP107115	0	0	0	0	0	0	695
Liver-HCC::SP98902	0	0	0	16772	0	0	0
Liver-HCC::SP107119	0	0	0	13763	0	0	0
Liver-HCC::SP98904	0	0	0	8407	0	0	0
Liver-HCC::SP98909	0	0	0	20128	0	0	0
Liver-HCC::SP107121	0	0	0	21104	0	0	0
Liver-HCC::SP107123	0	0	0	10940	0	0	0
Liver-HCC::SP98907	0	0	0	21773	0	0	0
Liver-HCC::SP107132	0	0	0	0	7595	0	0
Liver-HCC::SP107136	0	0	0	13784	0	0	0
Liver-HCC::SP107141	0	0	0	4709	0	0	0
Liver-HCC::SP98913	0	0	0	12349	0	0	0
Liver-HCC::SP107146	0	0	0	12548	0	0	0
Liver-HCC::SP107150	0	0	0	8835	0	0	0
Liver-HCC::SP98915	0	0	0	8165	0	0	0
Liver-HCC::SP107152	0	0	0	13341	0	0	0
Liver-HCC::SP107155	0	0	0	8939	0	0	0
Liver-HCC::SP112125	0	0	0	14624	0	0	0
Liver-HCC::SP98921	0	0	0	9844	0	0	0
Liver-HCC::SP112130	0	0	0	9130	0	0	0
Liver-HCC::SP112133	0	0	0	15182	0	0	0
Liver-HCC::SP98925	0	0	0	5818	0	0	0
Liver-HCC::SP112138	0	0	0	6479	0	0	0
Liver-HCC::SP112141	0	0	0	20906	0	0	0
Liver-HCC::SP98927	0	0	0	15494	0	0	0
Liver-HCC::SP112147	0	0	0	10511	0	0	0
Liver-HCC::SP112152	0	0	0	7639	0	0	0
Liver-HCC::SP112156	0	0	0	9296	0	0	0
Liver-HCC::SP98933	0	0	0	11607	0	0	0
Liver-HCC::SP112160	0	0	0	10795	0	0	0
Liver-HCC::SP98937	0	0	0	6699	0	0	0
Liver-HCC::SP112165	0	0	0	7874	0	0	0
Liver-HCC::SP112168	0	0	0	18488	0	0	0
Liver-HCC::SP98941	0	0	0	0	0	0	19341
Liver-HCC::SP112170	0	0	0	17708	0	0	0
Liver-HCC::SP112174	0	0	0	5637	0	0	0
Liver-HCC::SP98945	0	0	0	5361	0	0	0
Liver-HCC::SP112178	0	0	0	16939	0	0	0
Liver-HCC::SP112180	0	0	0	11846	0	0	0
Liver-HCC::SP98949	0	0	0	18144	0	0	0
Liver-HCC::SP112182	0	0	0	10067	0	0	0
Liver-HCC::SP98953	0	0	0	13781	0	0	0
Liver-HCC::SP112186	0	0	0	11775	0	0	0
Liver-HCC::SP98955	0	0	0	21376	0	0	0
Liver-HCC::SP112188	0	0	0	20613	0	0	0
Liver-HCC::SP112190	0	0	0	22415	0	0	0
Liver-HCC::SP112192	0	0	0	17238	0	0	0
Liver-HCC::SP112194	0	0	0	14648	0	0	0
Liver-HCC::SP98959	0	0	0	6318	0	0	0
Liver-HCC::SP112196	0	0	0	12193	0	0	0
Liver-HCC::SP112198	0	0	0	10575	0	0	0
Liver-HCC::SP112201	0	0	0	6912	0	0	0
Liver-HCC::SP98965	0	0	0	11888	0	0	0
Liver-HCC::SP112205	0	0	0	11996	0	0	0
Liver-HCC::SP112208	0	0	0	13155	0	0	0
Liver-HCC::SP98967	0	0	0	6143	0	0	0
Liver-HCC::SP112210	0	0	0	14682	0	0	0
Liver-HCC::SP112211	0	0	0	15974	0	0	0
Liver-HCC::SP98973	0	0	0	28225	0	0	0
Liver-HCC::SP112213	0	0	0	16313	0	0	0
Liver-HCC::SP50097	0	0	0	22000	0	0	0
Liver-HCC::SP112215	0	0	0	14912	0	0	0
Liver-HCC::SP112217	0	0	0	17812	0	0	0
Liver-HCC::SP98975	0	0	0	10599	0	0	0
Liver-HCC::SP112219	0	0	0	18584	0	0	0
